Year,Team,Totals,Touchdowns,Yards,Average Gain,Longest Gain,Fair Catches,Number of Kickoff Returns,Average,Touchbacks,Return Yards,Number of Sacks,Gains of 20 or more yards,Gains of 40 or more yards,Fumbles,Number of Kickoffs,Out of bounds,Kickoffs Returned,Onside Kicks Attempted,Onside Kicks Recovered
1991,ne,Opponents Totals,0,5560,,,,,60.4,28,1266,,,,,92,2,62,0,0
1991,ne,Opponents Totals,1,,,,,,,,970,,,,,,,52,,
1991,lbuf,Opponents Totals,1,3878,,,,,52.4,5,921,,,,,74,2,60,3,1
1991,lbuf,Opponents Totals,0,,,,,,,,1003,,,,,,,58,,
1991,lten,Opponents Totals,0,4865,,,,,60.1,12,1270,,,,,81,0,66,2,0
1991,lten,Opponents Totals,0,,,,,,,,890,,,,,,,50,,
1991,bos,Opponents Totals,0,3299,,,,,56.9,7,850,,,,,58,0,51,0,0
1991,bos,Opponents Totals,1,,,,,,,,1108,,,,,,,56,,
1991,phi,Opponents Totals,0,2543,,,,,55.3,8,573,,,,,46,3,33,1,0
1991,phi,Opponents Totals,1,,,,,,,,1961,,,,,,,55,,
1991,dal,Opponents Totals,0,5005,,,,,59.6,15,1071,,,,,84,5,63,1,1
1991,dal,Opponents Totals,0,,,,,,,,835,,,,,,,46,,
1991,pit,Opponents Totals,0,4379,,,,,63.5,25,825,,,,,69,1,43,0,0
1991,pit,Opponents Totals,0,,,,,,,,1314,,,,,,,67,,
1991,stl,Opponents Totals,0,3977,,,,,59.4,15,1022,,,,,67,2,50,0,0
1991,stl,Opponents Totals,0,,,,,,,,888,,,,,,,55,,
1991,c-p,Opponents Totals,0,4143,,,,,60.9,27,741,,,,,68,1,38,2,0
1991,c-p,Opponents Totals,0,,,,,,,,1225,,,,,,,69,,
1991,si,Opponents Totals,0,4202,,,,,56.0,8,1096,,,,,75,2,62,1,0
1991,si,Opponents Totals,0,,,,,,,,687,,,,,,,37,,
1991,atl,Opponents Totals,0,4517,,,,,60.2,13,1171,,,,,75,4,57,1,0
1991,atl,Opponents Totals,0,,,,,,,,978,,,,,,,48,,
1991,ltb,Opponents Totals,1,4300,,,,,58.1,15,1059,,,,,74,0,58,1,0
1991,ltb,Opponents Totals,0,,,,,,,,928,,,,,,,52,,
1991,col,Opponents Totals,0,4158,,,,,59.4,13,858,,,,,70,1,51,4,0
1991,col,Opponents Totals,0,,,,,,,,1280,,,,,,,60,,
1991,lou,Opponents Totals,0,3936,,,,,59.6,12,1034,,,,,66,2,52,0,0
1991,lou,Opponents Totals,1,,,,,,,,1171,,,,,,,55,,
