Year,Team,Totals,TD,YDS,AVG,LG,REC,NO,FC,LOST,OWN,OPP,G20+,G40+,FUM
1920,lkc,Team Totals,0,,,,,,,,,,,,
1920,lkc,Opponents Totals,0,,,,,,,,,,,,
1920,har,Team Totals,0,,,,,,,,,,,,
1920,har,Opponents Totals,0,,,,,,,,,,,,
1920,llarm,Team Totals,0,,,,,,,,,,,,
1920,llarm,Opponents Totals,0,,,,,,,,,,,,
1920,min,Team Totals,0,,,,,,,,,,,,
1920,min,Opponents Totals,0,,,,,,,,,,,,
1920,larm,Team Totals,1,,,,,,,,,,,,
1920,larm,Opponents Totals,0,,,,,,,,,,,,
1920,bal,Team Totals,0,,,,,,,,,,,,
1920,bal,Opponents Totals,0,,,,,,,,,,,,
1920,lten,Team Totals,0,,,,,,,,,,,,
1920,lten,Opponents Totals,0,,,,,,,,,,,,
1920,dul,Team Totals,0,,,,,,,,,,,,
1920,dul,Opponents Totals,0,,,,,,,,,,,,
1920,atl,Team Totals,0,,,,,,,,,,,,
1920,atl,Opponents Totals,0,,,,,,,,,,,,
1920,ham,Team Totals,0,,,,,,,,,,,,
1920,ham,Opponents Totals,0,,,,,,,,,,,,
1920,jac,Team Totals,0,,,,,,,,,,,,
1920,jac,Opponents Totals,0,,,,,,,,,,,,
1920,lind,Team Totals,0,,,,,,,,,,,,
1920,lind,Opponents Totals,0,,,,,,,,,,,,
1920,was,Team Totals,0,,,,,,,,,,,,
1920,was,Opponents Totals,1,,,,,,,,,,,,
1920,col,Team Totals,0,,,,,,,,,,,,
1920,col,Opponents Totals,0,,,,,,,,,,,,
1921,lkc,Team Totals,0,,,,,,,,,,,,
1921,lkc,Opponents Totals,0,,,,,,,,,,,,
1921,har,Team Totals,0,,,,,,,,,,,,
1921,har,Opponents Totals,0,,,,,,,,,,,,
1921,llarm,Team Totals,0,,,,,,,,,,,,
1921,llarm,Opponents Totals,0,,,,,,,,,,,,
1921,min,Team Totals,0,,,,,,,,,,,,
1921,min,Opponents Totals,0,,,,,,,,,,,,
1921,larm,Team Totals,0,,,,,,,,,,,,
1921,larm,Opponents Totals,0,,,,,,,,,,,,
1921,bal,Team Totals,0,,,,,,,,,,,,
1921,bal,Opponents Totals,0,,,,,,,,,,,,
1921,lten,Team Totals,0,,,,,,,,,,,,
1921,lten,Opponents Totals,0,,,,,,,,,,,,
1921,dul,Team Totals,0,,,,,,,,,,,,
1921,dul,Opponents Totals,0,,,,,,,,,,,,
1921,atl,Team Totals,0,,,,,,,,,,,,
1921,atl,Opponents Totals,0,,,,,,,,,,,,
1921,ham,Team Totals,0,,,,,,,,,,,,
1921,ham,Opponents Totals,0,,,,,,,,,,,,
1921,jac,Team Totals,0,,,,,,,,,,,,
1921,jac,Opponents Totals,0,,,,,,,,,,,,
1921,lind,Team Totals,0,,,,,,,,,,,,
1921,lind,Opponents Totals,0,,,,,,,,,,,,
1921,was,Team Totals,0,,,,,,,,,,,,
1921,was,Opponents Totals,0,,,,,,,,,,,,
1921,col,Team Totals,0,,,,,,,,,,,,
1921,col,Opponents Totals,0,,,,,,,,,,,,
1921,tol,Team Totals,0,,,,,,,,,,,,
1921,tol,Opponents Totals,0,,,,,,,,,,,,
1921,ltb,Team Totals,0,,,,,,,,,,,,
1921,ltb,Opponents Totals,0,,,,,,,,,,,,
1921,lmin,Team Totals,0,,,,,,,,,,,,
1921,lmin,Opponents Totals,0,,,,,,,,,,,,
1921,c-p,Team Totals,0,,,,,,,,,,,,
1921,c-p,Opponents Totals,0,,,,,,,,,,,,
