Year,Team,Totals,Touchdowns,Yards,Average Gain,Longest Gain,Number of Punt Returns,Fair Catches,Number of Punts,Average,Long,Blocked,Touchbacks,Inside 20,Return Yards,Net Yards,Net Average,Gains of 20 or more yards,Gains of 40 or more yards,Fumbles,Out of Bounds,Downed,Number of Kickoffs,Out of bounds,Kickoffs Returned,Onside Kicks Attempted,Onside Kicks Recovered
1932,ne,Team Totals,,,,,,,,,75,,,,,,,,,,,,,,,,
1932,ne,Opponents Totals,,,,,,,,,77,,,,,,,,,,,,,,,,
1932,lbuf,Team Totals,0,,,,,,,,,,,,,,,,,,,,,,,,
1932,lbuf,Opponents Totals,0,,,,,,,,,,,,,,,,,,,,,,,,
1933,ne,Team Totals,0,502,,,,,,,,,,,,,,,,,,,,,,,
1933,ne,Opponents Totals,0,,,,,,,,,,,,,,,,,,,,,,,,
1933,bos,Team Totals,0,,,,,,,,,,,,,,,,,,,,,,,,
1933,bos,Opponents Totals,0,,,,,,,,,,,,,,,,,,,,,,,,
1933,dal,Team Totals,0,,,,,,,,,,,,,,,,,,,,,,,,
1933,dal,Opponents Totals,2,,,,,,,,,,,,,,,,,,,,,,,,
1934,ne,Team Totals,,,,,,,,,,,,,,,,,,,,,,,,,
1934,ne,Opponents Totals,,,,,,,,,,,,,,,,,,,,,,,,,
1934,lbuf,Team Totals,,,,,,,113,,,,,,,,,,,,,,,,,,
1934,lbuf,Opponents Totals,,,,,,,,,,,,,,,,,,,,,,,,,
1934,lten,Team Totals,,,,,,,113,,,,,,,,,,,,,,,,,,
1934,lten,Opponents Totals,,,,,,,,,,,,,,,,,,,,,,,,,
1934,bos,Team Totals,,,,,,,,,,,,,,,,,,,,,,,,,
1934,bos,Opponents Totals,,,,,,,,,,,,,,,,,,,,,,,,,
1934,phi,Team Totals,,,,,,,,,,,,,,,,,,,,,,,,,
1934,phi,Opponents Totals,,,,,,,,,,,,,,,,,,,,,,,,,
1934,pit,Team Totals,,,,,,,,,,,,,,,,,,,,,,,,,
1934,pit,Opponents Totals,,,,,,,,,,,,,438,,,,,,,,,,,,
1934,stl,Team Totals,,,,,,,,,,,,,,,,,,,,,,,,,
1934,stl,Opponents Totals,,,,,,,,,,,,,,,,,,,,,,,,,
1934,si,Team Totals,0,,,,,,,,,,,,,,,,,,,,,,,,
1934,si,Opponents Totals,1,,,,,,,,,,,,,,,,,,,,,,,,
1934,atl,Team Totals,0,,,,,,,,,,,,,,,,,,,,,,,,
1934,atl,Opponents Totals,0,,,,,,,,,,,,,,,,,,,,,,,,
1935,ne,Team Totals,,,,,,,,,,,,,,,,,,,,,,,,,
1935,ne,Opponents Totals,,,,,,,,,,,,,421,,,,,,,,,,,,
1935,lbuf,Team Totals,,,,,,,,,,,,,,,,,,,,,,,,,
1935,lbuf,Opponents Totals,,,,,,,,,,,,,382,,,,,,,,,,,,
1935,lten,Team Totals,,,,,,,,,,,,,,,,,,,,,,,,,
1935,lten,Opponents Totals,,,,,,,,,,,,,384,,,,,,,,,,,,
1935,bos,Team Totals,,,,,,,112,,,,,,,,,,,,,,,,,,
1935,bos,Opponents Totals,,,,,,,,,,,,,417,,,,,,,,,,,,
1935,phi,Team Totals,,,,,,,,,,,,,,,,,,,,,,,,,
1935,phi,Opponents Totals,,,,,,,,,,,,,296,,,,,,,,,,,,
1935,dal,Team Totals,,,,,,,,,,,,,,,,,,,,,,,,,
