Year,Team,Totals,TD,YDS,REC,NO,LOST,OWN,OPP,BL,TKL,TT,TA,DT,DA,STT,STA,MT,MA,PD,QH,TFL,FF
1982,lkc,Team Totals,,329.0,,38.0,,,,,,,,,,,,,,,,,
1982,lkc,Opponents Totals,,211.0,,23.0,,,,,,,,,,,,,,,,,
1982,har,Team Totals,,254.0,,29.0,,,,,,,,,,,,,,,,,
1982,har,Opponents Totals,,87.0,,11.0,,,,,,,,,,,,,,,,,
1982,llarm,Team Totals,,207.0,,22.0,,,,,,,,,,,,,,,,,
1982,llarm,Opponents Totals,,162.0,,27.0,,,,,,,,,,,,,,,,,
1982,min,Team Totals,,273.0,,34.0,,,,,,,,,,,,,,,,,
1982,min,Opponents Totals,,139.0,,19.0,,,,,,,,,,,,,,,,,
1982,larm,Team Totals,,145.0,,19.0,,,,,,,,,,,,,,,,,
1982,larm,Opponents Totals,,94.0,,12.0,,,,,,,,,,,,,,,,,
1982,bal,Team Totals,,171.0,,20.0,,,,,,,,,,,,,,,,,
1982,bal,Opponents Totals,,206.0,,23.0,,,,,,,,,,,,,,,,,
1982,lten,Team Totals,,172.0,,20.0,,,,,,,,,,,,,,,,,
1982,lten,Opponents Totals,,134.0,,15.0,,,,,,,,,,,,,,,,,
1982,dul,Team Totals,,145.0,,22.0,,,,,,,,,,,,,,,,,
1982,dul,Opponents Totals,,212.0,,26.0,,,,,,,,,,,,,,,,,
1982,atl,Team Totals,,82.0,,12.0,,,,,,,,,,,,,,,,,
1982,atl,Opponents Totals,,115.0,,12.0,,,,,,,,,,,,,,,,,
1982,ham,Team Totals,,135.0,,17.0,,,,,,,,,,,,,,,,,
1982,ham,Opponents Totals,,269.0,,36.0,,,,,,,,,,,,,,,,,
1982,jac,Team Totals,,120.0,,15.0,,,,,,,,,,,,,,,,,
1982,jac,Opponents Totals,,309.0,,40.0,,,,,,,,,,,,,,,,,
1982,lind,Team Totals,,116.0,,16.0,,,,,,,,,,,,,,,,,
