Year,Team,Totals,1st,2nd,3rd,4th,YDS,TOP,Rushing,Passing,Penalty,3RD DOWN EFFICIENCY,4TH DOWN EFFICIENCY,PEN,OT
1920,lkc,Team Totals,24,28,21,22,,,,,,,,,
1920,lkc,Opponents Totals,0,0,7,0,,,,,,,,,
1920,har,Team Totals,13,35,6,13,,,,,,,,,
1920,har,Opponents Totals,0,0,14,0,,,,,,,,,
1920,llarm,Team Totals,16,37,14,7,,,,,,,,,
1920,llarm,Opponents Totals,7,3,3,6,,,,,,,,,
1920,min,Team Totals,28,48,16,35,,,,,,,,,
1920,min,Opponents Totals,7,7,10,23,,,,,,,,,
1920,larm,Team Totals,27,30,14,27,,,,,,,,,
1920,larm,Opponents Totals,7,14,0,14,,,,,,,,,
1920,bal,Team Totals,0,6,28,0,,,,,,,,,
1920,bal,Opponents Totals,9,14,0,3,,,,,,,,,
1920,lten,Team Totals,14,35,15,8,,,,,,,,,
1920,lten,Opponents Totals,10,21,13,0,,,,,,,,,
1920,dul,Team Totals,0,6,0,0,,,,,,,,,
1920,dul,Opponents Totals,20,14,27,0,,,,,,,,,
1920,atl,Team Totals,0,7,7,0,,,,,,,,,
1920,atl,Opponents Totals,14,28,2,2,,,,,,,,,
1920,ham,Team Totals,9,7,6,0,,,,,,,,,
1920,ham,Opponents Totals,6,27,20,10,,,,,,,,,
1920,jac,Team Totals,7,0,0,0,,,,,,,,,
1920,jac,Opponents Totals,13,50,28,16,,,,,,,,,
1920,lind,Team Totals,0,0,7,0,,,,,,,,,
1920,lind,Opponents Totals,14,47,3,34,,,,,,,,,
1920,was,Team Totals,0,0,0,0,,,,,,,,,
1920,was,Opponents Totals,21,10,7,7,,,,,,,,,
1920,col,Team Totals,0,3,0,3,,,,,,,,,
1920,col,Opponents Totals,10,7,0,0,,,,,,,,,
1921,lkc,Team Totals,19,27,32,50,,,,,,,,,
1921,lkc,Opponents Totals,3,10,30,10,,,,,,,,,
1921,har,Team Totals,83,59,52,17,,,,,,,,,
1921,har,Opponents Totals,19,0,3,7,,,,,,,,,
1921,llarm,Team Totals,27,41,41,39,,,,,,,,,
1921,llarm,Opponents Totals,7,14,3,7,,,,,,,,,
1921,min,Team Totals,31,20,21,34,,,,,,,,,
