Year,Team,Totals,Points scored in 1st quarter,Points scored in 2nd quarter,Points scored in 3rd quarter,Points scored in 4th quarter,Points scored in overtime,1st quarter,2nd quarter,3rd quarter,4th quarter,Overtime
2012,ne,Team Totals,113,177,103,161,3,,,,,
2012,ne,Opponents Totals,67,81,75,108,0,,,,,
2012,lbuf,Team Totals,50,91,71,76,0,,,,,
2012,lbuf,Opponents Totals,70,92,48,101,6,,,,,
2012,lten,Team Totals,58,69,67,84,3,,,,,
2012,lten,Opponents Totals,72,120,69,111,3,,,,,
2012,bos,Team Totals,84,109,78,70,3,,,,,
2012,bos,Opponents Totals,89,115,109,122,0,,,,,
2012,phi,Team Totals,88,108,98,101,3,,,,,
2012,phi,Opponents Totals,70,103,86,82,3,,,,,
2012,dal,Team Totals,113,104,63,111,,,,,,
2012,dal,Opponents Totals,42,102,80,96,,,,,,
2012,pit,Team Totals,57,114,71,91,3,,,,,
2012,pit,Opponents Totals,60,103,78,70,3,,,,,
2012,stl,Team Totals,50,89,69,94,0,,,,,
2012,stl,Opponents Totals,84,96,75,110,3,,,,,
2012,c-p,Team Totals,94,136,100,74,12,,,,,
2012,c-p,Opponents Totals,77,83,85,83,3,,,,,
2012,si,Team Totals,93,96,81,81,6,,,,,
2012,si,Opponents Totals,69,144,78,96,0,,,,,
2012,atl,Team Totals,72,94,66,95,3,,,,,
2012,atl,Opponents Totals,155,58,116,136,6,,,,,
2012,ltb,Team Totals,50,71,43,88,3,,,,,
2012,ltb,Opponents Totals,66,134,87,142,15,,,,,
2012,col,Team Totals,66,116,153,146,,,,,,
2012,col,Opponents Totals,70,81,62,76,,,,,,
2012,lou,Team Totals,99,100,70,81,0,,,,,
2012,lou,Opponents Totals,72,79,69,127,3,,,,,
2012,was,Team Totals,35,89,54,109,3,,,,,
2012,was,Opponents Totals,106,101,146,90,0,,,,,
2012,lgb,Team Totals,42,54,43,69,3,,,,,
2012,lgb,Opponents Totals,95,121,106,100,3,,,,,
2012,lsea,Team Totals,79,138,95,121,3,,,,,
2012,lsea,Opponents Totals,80,114,46,148,0,,,,,
2012,ari,Team Totals,101,138,73,117,,,,,,
2012,ari,Opponents Totals,86,103,84,71,,,,,,
2012,roc,Team Totals,36,88,84,162,6,,,,,
2012,roc,Opponents Totals,71,127,79,120,3,,,,,
2012,lne,Team Totals,31,92,78,79,0,,,,,
2012,lne,Opponents Totals,106,111,83,141,3,,,,,
2012,lnyg,Team Totals,82,126,89,135,,,,,,
2012,lnyg,Opponents Totals,53,118,80,85,,,,,,
2012,ind,Team Totals,101,112,74,89,3,,,,,
2012,ind,Opponents Totals,60,104,77,107,0,,,,,
2012,oor,Team Totals,92,93,79,111,0,,,,,
2012,oor,Opponents Totals,48,97,54,72,6,,,,,
2012,cin,Team Totals,61,105,57,146,3,,,,,
