,Day,Date,Home/Away,Opponent,Score,W/L/T,Overtime,Location,Venue,Attendance,Notes,Team,Team Code
0,Sun,10/10/1920,H,Columbus Panhandles,37-0,W,,"Akron, OH",League Park,1500,,Akron Pros,aakr
1,Sun,10/24/1920,H,Cleveland Tigers,7-0,W,,"Akron, OH",League Park,5000,,Akron Pros,aakr
2,Sun,10/31/1920,A,Canton Bulldogs,10-0,W,,"Canton, OH",Lakeside Athletic Park,6000,,Akron Pros,aakr
3,Sun,11/7/1920,A,Rock Island Independents,,-,,"Rock Island, IL",Douglas Park,,Canceled,Akron Pros,aakr
4,Sun,11/7/1920,H,Detroit Heralds,,-,,"Akron, OH",League Park,,Canceled,Akron Pros,aakr
5,Sun,11/14/1920,A,Cleveland Tigers,7-7,T,,"Cleveland, OH",Dunn Field,8000,,Akron Pros,aakr
6,Sun,11/21/1920,H,Dayton Triangles,13-0,W,,"Akron, OH",League Park,3700,,Akron Pros,aakr
7,Thu,11/25/1920,H,Canton Bulldogs,7-0,W,,"Akron, OH",League Park,6500,,Akron Pros,aakr
8,Sun,11/28/1920,A,Dayton Triangles,14-0,W,,"Dayton, OH",Triangle Park,5000,,Akron Pros,aakr
9,Sun,12/5/1920,A,Buffalo All-Americans,0-0,T,,"Buffalo, NY",Buffalo Baseball Park,3000,,Akron Pros,aakr
10,Sun,12/12/1920,A,Decatur Staleys,0-0,T,,"Chicago, IL",Cubs Park,12000,,Akron Pros,aakr
0,Sun,10/10/1920,H,Muncie Flyers,,-,,"Decatur, IL",Staley Field,,Canceled,Decatur Staleys,adec
1,Sun,10/17/1920,A,Rock Island Independents,7-0,W,,"Rock Island, IL",Douglas Park,7000,,Decatur Staleys,adec
2,Sun,10/24/1920,A,Chicago Tigers,10-0,W,,"Chicago, IL",Cubs Park,4000,Moved from Decatur,Decatur Staleys,adec
3,Sun,11/7/1920,A,Rock Island Independents,0-0,T,,"Rock Island, IL",Douglas Park,4991,Moved from Decatur,Decatur Staleys,adec
4,Sun,11/21/1920,H,Hammond Pros,28-7,W,,"Decatur, IL",Staley Field,2000,,Decatur Staleys,adec
5,Thu,11/25/1920,A,Chicago Tigers,6-0,W,,"Chicago, IL",Cubs Park,8000,,Decatur Staleys,adec
6,Sun,11/28/1920,A,Chicago Cardinals,6-7,L,,"Chicago, IL",Normal Park,5400,,Decatur Staleys,adec
